"Esparrago", 653.25, 230
"Melon", 109.69, 356
"Higo", 2403.59, 105
"Tomate", 761.11, 1044
"Kinoto", 34.71, 170
"Champignon", 3635.48, 120
"Esparrago", 610.30, 166
"Durazno", 277.18, 952
"Calabaza", 21.98, 696
"Palta", 499.61, 575
"Brocoli", 366.41, 332
"Palta", 475.23, 470
"Naranja", 10.68, 920
"Zanahoria", 25.84, 576
"Uva", 731.15, 261
"Batata", 15.38, 990
"Mandarina", 20.78, 1100
"Pera", 138.62, 1120
"Kiwi", 452.49, 476
"Naranja", 16.60, 1200
"Higo", 2498.57, 95
"Frutilla", 298.91, 321
"Cereza", 1083.92, 216
"Lechuga", 34.16, 891
"Lima", 1387.93, 224
"Ajo", 899.00, 86
"Manzana", 131.45, 1160
"Sandia", 45.15, 1026
"Uva", 677.77, 324
"Manzana", 155.96, 1050
"Pepino", 34.15, 545
"Rabanito", 234.95, 306
"Naranja", 14.71, 1140
"Berenjena", 59.89, 504
"Alcachofa", 142.69, 324
"Mandarina", 30.27, 880
"Cebolla", 49.52, 928
"Pepino", 29.53, 445
"Brocoli", 362.21, 464
"Naranja", 19.42, 1080
"Zanahoria", 30.05, 714
"Lima", 1352.78, 170
"Mandarina", 16.76, 1090
"Banana", 69.29, 850
"Cebolla", 50.32, 736
"Coliflor", 39.41, 595
"Ajo", 935.23, 80
"Kiwi", 439.86, 328
"Batata", 22.71, 870
"Lima", 1229.10, 218
"Zanahoria", 23.34, 666
"Papa", 12.65, 930
"Ciruela", 982.69, 1071
"Alcachofa", 138.65, 300
"Kiwi", 456.64, 384
"Batata", 23.20, 1030
"Repollo", 1.75, 581
"Rabanito", 215.34, 291
"Higo", 2497.01, 91
"Lima", 1265.09, 196
"Papa", 23.11, 970
"Lechuga", 50.24, 837
"Banana", 60.03, 1130
"Pomelo", 43.17, 1062
"Lechuga", 38.61, 990
"Calabaza", 16.11, 824
"Limon", 307.32, 693
"Uva", 709.96, 330
"Limon", 295.72, 763
"Ajo", 899.37, 111
"Alcachofa", 155.50, 282
"Higo", 2479.28, 93
"Caqui", 824.04, 105
"Tomate", 755.28, 936
"Ciruela", 893.11, 864
"Batata", 12.28, 840
"Zanahoria", 26.58, 564
"Apio", 67.31, 339
"Manzana", 125.22, 890
"Choclo", 49.41, 351
"Sandia", 64.87, 900
"Higo", 2540.81, 102
"Rabanito", 227.33, 357
"Durazno", 174.73, 760
"Limon", 323.52, 791
"Uva", 754.88, 255
"Melon", 119.09, 344
"Kiwi", 453.62, 344
"TomCherry", 545.61, 164
"Palta", 471.21, 510
"Kinoto", 41.93, 200
"Kinoto", 30.38, 232
"Sandia", 56.09, 765
"Acelga", 14.72, 1053
"TomCherry", 564.24, 226
"Kinoto", 31.18, 202
"Durazno", 130.09, 952
"Pera", 165.54, 1150
"Naranja", 16.43, 1000
"Apio", 60.05, 240
"Frutilla", 294.32, 354
"Sandia", 66.38, 1035
"Esparrago", 618.09, 232
"Rabanito", 230.98, 285
"Lima", 1201.32, 232
"Pomelo", 45.86, 783
"Lima", 1220.30, 214
"TomCherry", 555.59, 162
"Papa", 18.00, 920
"Lima", 1293.42, 188
"Zanahoria", 32.23, 594
"Tomate", 735.79, 963
"Lima", 1061.85, 204
"Calabaza", 21.83, 696
"Cereza", 984.70, 200
"Zuccini", 69.38, 672
"Morron", 2856.33, 540
"Alcachofa", 130.99, 285
"Pepino", 35.77, 450
"Ajo", 989.12, 83
"Mandarina", 24.58, 1130
"Alcachofa", 136.35, 276
"Batata", 17.98, 1170
"Esparrago", 583.75, 174
"Palta", 485.92, 445
"Alcachofa", 135.38, 360
"Tomate", 764.86, 936
"Brocoli", 339.80, 372
"Cereza", 1058.68, 180
"Tomate", 735.27, 999
"Rabanito", 214.68, 276
"Berenjena", 54.92, 522
"Frutilla", 305.46, 357
"Caqui", 822.76, 101
"Mandarina", 24.18, 870
"Palta", 465.51, 515
"Durazno", 296.64, 808
"Calabaza", 21.50, 776
"Kiwi", 447.30, 476
"Ciruela", 1002.62, 981
"Morron", 2998.12, 570
"Lechuga", 37.74, 774
"Zanahoria", 29.28, 612
"Apio", 56.98, 303
"Manzana", 127.18, 950
"Melon", 106.62, 404
"TomCherry", 517.53, 174
"Tomate", 765.74, 783
"Cereza", 1027.38, 240
"Kinoto", 41.08, 228
"Esparrago", 592.89, 210
"Caqui", 858.76, 98
"Ajo", 908.14, 87
"Esparrago", 623.46, 168
"Morron", 2986.17, 684
"Calabaza", 14.99, 720
"Pomelo", 44.59, 945
"Lima", 1378.65, 232
"Rabanito", 240.84, 249
"Esparrago", 612.98, 226
"Tomate", 777.56, 1080
"Frutilla", 286.59, 330
"Banana", 52.25, 970
"Palta", 473.88, 460
"Palta", 1057.32, 320
"Papa", 22.96, 900
"Pera", 163.90, 820
"Papa", 14.64, 920
"Lechuga", 36.60, 927
"Naranja", 11.61, 1120
"Zuccini", 72.15, 588
"Kiwi", 443.70, 340
"Naranja", 11.20, 1090
"Lima", 1308.18, 200
"Naranja", 9.71, 1050
"Acelga", 24.88, 783
"Higo", 2542.83, 84
"Palta", 487.77, 535
"Acelga", 14.26, 873
"Banana", 65.28, 930
"Zanahoria", 38.77, 618
"Palta", 1182.43, 436
"Durazno", 149.33, 712
"Pera", 162.76, 800
"Lima", 1050.52, 180
"Naranja", 12.77, 1180
"Brocoli", 359.22, 376
"Uva", 681.24, 333
"Papa", 19.27, 920
"Durazno", 162.18, 944
"Coliflor", 32.83, 595
"Morron", 2926.84, 696
"Durazno", 166.24, 640
"Frutilla", 319.14, 246
"Pera", 169.94, 1160
"Durazno", 135.95, 720
"Lechuga", 25.48, 873
"Sandia", 68.05, 981
"Ajo", 890.16, 113
"Palta", 490.38, 450
"Uva", 707.10, 330
"Banana", 52.22, 830
"Alcachofa", 150.06, 279
"Higo", 2442.87, 90
"Durazno", 291.29, 920
"Batata", 20.24, 980
"Caqui", 845.71, 93
"Palta", 1173.77, 336
"Pomelo", 57.41, 774
"Zanahoria", 44.38, 612
"Palta", 1119.90, 428
"Palta", 1183.38, 328
"Morron", 2939.78, 642
"Choclo", 50.17, 333
"Limon", 333.07, 721
"Durazno", 150.29, 848
"Durazno", 261.76, 640
"Pomelo", 47.60, 720
"Lima", 1061.27, 160
"Uva", 696.26, 321
"Zuccini", 75.30, 600
"Choclo", 54.64, 324
"Calabaza", 22.82, 640
"Pera", 138.61, 1070
"Calabaza", 24.16, 696
"Sandia", 61.75, 891
"Kinoto", 34.34, 204
"Frambuesa", 2093.95, 110
"Caqui", 790.23, 87
"Ciruela", 943.97, 783
"Champignon", 3544.81, 83
"Manzana", 158.62, 970
"Champignon", 3692.04, 96
"Berenjena", 45.62, 522
"Mandarina", 12.82, 1000
"Lima", 1341.98, 162
"Cereza", 1027.05, 206
"Lima", 1043.50, 234
"Champignon", 3542.85, 87
"Lima", 1069.03, 192
"Mandarina", 20.16, 1000
"Lima", 1359.16, 234
"Lima", 1017.66, 196
"Papa", 22.25, 800
"Morron", 2993.81, 708
"Zuccini", 84.39, 696
